,Country,Gender,Game,Total Follower,Broadcast Hours,PaidStarPerWatchedHour,Character_Facet_Cont_Rigidity,Character_Facet_Cont_AchievementStriving,Personal_Values_Facet_Cont_Hedonism,Character_Facet_Cont_Dutifulness,Character_Cont_Conscientiousness,Character_Facet_Cont_Sympathy,Personal_Values_Facet_Cont_UniversalismTolerance,Temperament_Choleric,Self_Esteem_Cont_SEDiscrepancyResponsibility,Character_Facet_Cont_ArtisticInterests,Temperament_Sanguine,Character_Facet_Cont_Friendliness,Temperament_Diligent,Self_Esteem_Cont_SELevel,Character_Cont_Extraversion,Role_Director,Character_Facet_Cont_SelfConsciousness,Temperament_Energetic,Character_Facet_Cont_Adventurousness,Role_Craftsman,Self_Esteem_Cont_SELevelResponsibility,Self_Esteem_Cont_SEAspirationResponsibility,Role_Toastmaster,Personal_Values_Facet_Cont_PowerDominance,Role_Marshal,Self_Esteem_Cont_SELevelAchievements,Self_Esteem_Cont_SEDiscrepancySociability,Personal_Values_Cont_SelfEnhancement,Self_Esteem_Cont_SEAspiration,Role_Supplier,Character_Facet_Cont_Activity,Temperament_Stable,Personal_Values_Facet_Cont_PowerResources,Self_Esteem_Cont_SEDiscrepancyAchievements,Temperament_Melancholic,Character_Cont_Openness,Character_Facet_Cont_Anxiety,Role_Administrator,Character_Facet_Cont_Emotionality,Role_Innovator,Role_Partygoer,Self_Esteem_Cont_SEAspirationSociability,Role_Guru,Personal_Values_Facet_Cont_SelfDirectionThought,Temperament_Phlegmatic,Personal_Values_Facet_Cont_Reputation,Role_Guardian,Role_Keeper,Character_Facet_Cont_Tension,Character_Facet_Cont_Altruism,Personal_Values_Facet_Cont_SecuritySocietal,Self_Esteem_Cont_SEAspirationAchievements,Self_Esteem_Cont_SEAspirationOriginality,Personal_Values_Facet_Cont_Humility,Character_Facet_Cont_Orderliness,MBTI_grouped,Role_Manager,Personal_Values_Facet_Cont_Stimulation,Character_Cont_Neuroticism,Self_Esteem_Cont_SELevelConfidence,Self_Esteem_Cont_SEAspirationConfidence,Role_WiseMan,Self_Esteem_Cont_SEDiscrepancyConfidence,Role_Assistant,Self_Esteem_Cont_SEDiscrepancy,Personal_Values_Facet_Cont_ConformityRules,Self_Esteem_Cont_SEAspirationIntelligence,Self_Esteem_Cont_SELevelSociability,Role_Healer,Role_Operator,Self_Esteem_Cont_SEDiscrepancyAppearance,Personal_Values_Facet_Cont_ConformityInterpersonal,Character_Facet_Cont_Modesty,Self_Esteem_Cont_SEDiscrepancyOriginality,Character_Facet_Cont_Imagination,Role_Coach,Role_RightsDefender,Role_Philanthropist,Personal_Values_Facet_Cont_SelfDirectionAction,Role_Promoter,Personal_Values_Facet_Cont_SecurityPersonal,Personal_Values_Facet_Cont_UniversalismConcern,Role_Advisor,Self_Esteem_Cont_SELevelOriginality,Role_Analyst,Personal_Values_Cont_SelfTranscendence,Personal_Values_Facet_Cont_Achievement,Character_Facet_Cont_Trust,Temperament_Unstable,Character_Cont_Agreeableness,Role_Inventor,Personal_Values_Facet_Cont_BenevolenceCaring,Personal_Values_Facet_Cont_BenevolenceDependability,Character_Facet_Cont_Vulnerability,Character_Facet_Cont_ExcitementSeeking,Role_Designer,Role_Deputy,Personal_Values_Cont_OpennessToChange,PaidStarPerWatchedHour,Character_Facet_Cont_Morality,Character_Facet_Cont_Depression,Role_Strategist,Role_Inspector,Self_Esteem_Cont_SEAspirationAppearance,Character_Facet_Cont_SelfDiscipline,Self_Esteem_Cont_SEDiscrepancyIntelligence,Role_Companion,Character_Facet_Cont_Cooperation,Role_Commander,Role_Activist,Personal_Values_Facet_Cont_UniversalismNature,Role_Charismatic,Personal_Values_Facet_Cont_Tradition,Self_Esteem_Cont_SELevelAppearance,Character_Facet_Cont_Assertiveness,Character_Facet_Cont_Cautiousness,Role_Curator,Personal_Values_Cont_Conservation,Self_Esteem_Cont_SELevelIntelligence,Temperament_Centric
0,ID,Male,MLBB,96751,104,0.004113061664,0.663442478,0.718679414,0.288007783,0.471456196,0.52271078,0.337836151,0.554133506,0,0.496687567,0.504058781,0.25,0.494384409,0.125,0.46291226,0.474577169,0.679338782,0.471481542,0.125,0.544957385,0.453881738,0.67942731,0.721494717,0.530886685,0.356303593,0.620860476,0.60585757,0.47333535,0.303075866,0.881936393,0.50951376,0.691145038,0.75,0.317288981,0.544263081,0,0.519794076,0.771031494,0.572131637,0.663167624,0.695562925,0.674683554,0.720348321,0.758007938,0.300860021,0.25,0.303196798,0.560190542,0.502705173,0.658562654,0.489028902,0.450049048,0.808913705,0.73321567,0.335468359,0.482501061,INT,0.491606946,0.611376177,0.440366973,0.579454493,0.796486486,0.714229871,0.757822151,0.426667777,0.363321308,0.547591717,0.827352972,0.785879573,0.595265843,0.608209633,0.606056844,0.545424599,0.461667062,0.55640687,0.707489563,0.492933038,0.717801525,0.690937874,0.488144007,0.674905456,0.353928485,0.477636727,0.577659966,0.728769361,0.627180019,0.27576318,0.322607812,0.45007974,0.5,0.467755524,0.705475282,0.543155295,0.244511301,0.686694412,0.554406489,0.533952247,0.516859478,0.303908732,0.004113061664,0.553543741,0.771031494,0.783867767,0.670466763,0.648751344,0.518061222,0.473906829,0.541371661,0.352032383,0.449807408,0.514416776,0.523116282,0.408443922,0.318747333,0.684412412,0.494384409,0.751974164,0.524306285,0.29905185,0.803920188,0.625
1,ID,Male,8 Ball Pool,4781,174,0.002855355491,0.54325507,0.427887463,0.430609111,0.493513722,0.348512656,0.408481062,0.610872118,0,0.557878792,0.577758113,0.5,0.468738263,0.25,0.386515584,0.445182614,0.38143157,0.352964445,0,0.604112507,0.325222392,0.74340653,0.534424623,0.349459256,0.34167488,0.486199546,0.490159766,0.579283201,0.298713976,0.860850675,0.098237059,0.554196648,0.625,0.317427428,0.583342415,0.25,0.665508866,0.462166375,0.274649413,0.609838378,0.67591776,0.351584038,0.606514344,0.38203138,0.326278361,0.75,0.338720858,0.280924689,0.105108472,0.572325631,0.310958872,0.473391824,0.751732386,0.835317732,0.335035578,0.414946102,INT,0.14767555,0.534274541,0.366972477,0.60162374,0.829922346,0.486979501,0.539837768,0.148169303,0.282683354,0.476114588,0.873790074,0.747270392,0.356446775,0.518500655,0.619993802,0.627667937,0.60686589,0.559898855,0.334937271,0.092588469,0.464579635,0.320647913,0.483453584,0.503095923,0.425649268,0.456435552,0.239550427,0.771000628,0.403616246,0.264247563,0.333643966,0.504510325,0.125,0.225692406,0.718744561,0.460678401,0.276966138,0.62778594,0.511837198,0.488030168,0.26329172,0.309062364,0.002855355491,0.352700173,0.462166375,0.549317672,0.397980882,0.69016802,0.442303289,0.482888842,0.230455161,0.401419041,0.277163258,0.286003451,0.444493092,0.407624418,0.382593669,0.635492923,0.468738263,0.571198092,0.10020175,0.304526932,0.751291395,0.125
2,ID,Female,Free Fire 0 Battlegrounds,68246,83,0.003006570857,0.52727882,0.399872509,0.753009119,0.472404771,0.376853523,0.518602372,0.579432926,0.5,0.395199451,0.594751567,0,0.413872056,0.5,0.568077446,0.32257266,0.305979479,0.750039033,0,0.657772517,0.784232037,0.555626459,0.568014021,0.555617588,0.362791368,0.177482905,0.189998585,0.510045861,0.231112826,0.805829736,0.360728332,0.546109251,0,0.216132284,0.573285324,1,0.491614771,0.536447486,0.488659553,0.753056403,0.348777655,0.31977701,0.840706972,0.34142547,0.271818353,0.5,0.685387537,0.644016532,0.501414414,0.536447486,0.445136591,0.407193258,0.894842828,0.746557674,0.332795404,0.363057369,IST,0.293105789,0.491731103,0.755764569,0.406060003,0.833079778,0.397466955,0.601333738,0.578508666,0.624828702,0.41987904,0.777473056,0.585201067,0.582896959,0.476385016,0.527886601,0.620256113,0.638298301,0.63985732,0.571105542,0.171513755,0.300320781,0.172116084,0.552368771,0.390856673,0.355100462,0.69860375,0.490698693,0.546902104,0.610824777,0.244234964,0.287051868,0.458499533,0.5,0.368621663,0.476993783,0.464157147,0.391602808,0.636199287,0.860168727,0.715200435,0.302466185,0.295548653,0.003006570857,0.657772517,0.753034737,0.437835911,0.416392109,0.85041407,0.385780546,0.354271158,0.463356601,0.335437081,0.361046988,0.401512445,0.581656802,0.443453313,0.325262963,0.398686303,0.515928894,0.309321691,0.070987509,0.305975316,0.759899943,0
3,ID,Male,MLBB,142037,127,0.005170509685,0.677222192,0.603533714,0.407923342,0.467787167,0.499233993,0.571441051,0.669024667,0.5,0.536235163,0.597647601,1,0.516412242,0,0.425360644,0.616427996,0.483526116,0.562344449,0.5,0.785618118,0.187634417,0.674490641,0.712327153,0.329683641,0.350920732,0.738135214,0.378579411,0.50408765,0.297082723,0.886072991,0.170067459,0.657481616,0.5,0.314787969,0.466592647,0,0.694243603,0.558339029,0.341728241,0.64147731,0.684566403,0.343166175,0.745219909,0.379951474,0.374887685,0.5,0.210783469,0.253580553,0.084650007,0.610603569,0.331463567,0.383971426,0.87708093,0.686631694,0.327658217,0.322056321,ENT,0.257566207,0.463985667,0.357798165,0.552021879,0.775193063,0.376739087,0.484409269,0.033374747,0.325989956,0.570236841,0.839085095,0.832011534,0.267062269,0.353374353,0.473965441,0.516948267,0.706056205,0.574750688,0.47236588,0.074850368,0.474215774,0.458404537,0.449759515,0.48592621,0.207889482,0.448911519,0.232493227,0.747797312,0.389318156,0.264290992,0.318079726,0.476508182,0,0.234586658,0.536128825,0.430807565,0.336399649,0.628119289,0.526965975,0.353330782,0.126136163,0.299255177,0.005170509685,0.155549543,0.558339029,0.538655644,0.370692999,0.629667177,0.535313132,0.481676023,0.218070004,0.461568841,0.419304354,0.290018842,0.385821905,0.408993968,0.440821023,0.703668961,0.516412242,0.535321962,0.214651621,0.298591882,0.734010281,0
4,ID,Male,Free Fire 0 Battlegrounds,15416,86,0.001213424568,0.238194175,0.543285121,0.392992902,0.583098864,0.469371271,0.596871705,0.609844274,0,0.299370043,0.37750602,0.25,0.343620367,0.625,0.781216147,0.181472559,0.359326155,0.449570418,0.125,0.34631835,0.472547637,0.800545564,0.74387201,0.330916947,0.325093486,0.203801017,0.628431007,0.423613383,0.276813279,0.829868388,0.376473817,0.401775813,0.25,0.239326711,0.445069311,0.5,0.45815701,0.354809553,0.348892035,0.501644427,0.317387446,0.465105085,0.892337764,0.632996013,0.253146845,0.75,0.36634715,0.523224557,0.622450384,0.354809553,0.600798341,0.584311488,0.941654829,0.786673562,0.336522025,0.546634609,ISF,0.277707266,0.522098702,0.485425848,0.625313061,0.715707749,0.626009014,0.498036152,0.593275179,0.434653707,0.549793584,0.717338221,0.695167077,0.570800021,0.549475329,0.406912421,0.353078371,0.384002807,0.42695681,0.551450391,0.646206345,0.415213595,0.359047736,0.554441903,0.385112435,0.66291878,0.653052494,0.558525122,0.61821689,0.486907965,0.286270361,0.309832273,0.553487541,0,0.59906722,0.509520261,0.524064693,0.391207903,0.380607612,0.353410559,0.439375696,0.671446467,0.294529942,0.001213424568,0.34631835,0.458808277,0.535045581,0.568810451,0.8615874,0.546704032,0.233879529,0.415671777,0.437005951,0.150856416,0.319439033,0.582025289,0.135649946,0.405968121,0.439668497,0.586193315,0.567603721,0.324363829,0.298715822,0.814529612,0.125
5,ID,Male,PUBG,8993,136,0.003491704374,0.680616283,0.511026319,0.545046033,0.53956532,0.494312578,0.428501529,0.495305919,0.25,0.599412583,0.614386724,0.5,0.579497367,0.125,0.51311986,0.577872687,0.560175608,0.462221311,0.375,0.665912861,0.332388026,0.712101676,0.73175711,0.469326308,0.342950809,0.768608845,0.538229272,0.512187987,0.30120551,0.890176669,0.30099569,0.632777602,0.375,0.319057454,0.53507279,0,0.664397668,0.585956809,0.479535628,0.554449575,0.790635883,0.434731304,0.71407282,0.480595465,0.307246856,0.25,0.253270545,0.398125737,0.226307344,0.566233325,0.357908862,0.528908743,0.840927845,0.708931003,0.337457902,0.310980915,ENT,0.38921006,0.427452054,0.449541284,0.445212927,0.828922767,0.480607119,0.611352455,0.177455369,0.374978954,0.471848822,0.829972573,0.778269752,0.417187842,0.442394215,0.61122259,0.581306265,0.649252324,0.500962651,0.544116337,0.15087847,0.568050067,0.528210368,0.435177558,0.576508776,0.440078548,0.310097035,0.378832884,0.700158012,0.547156268,0.243839296,0.316398161,0.472011369,0.125,0.272246348,0.644669373,0.519723355,0.304194618,0.726345669,0.567076163,0.51131402,0.2114668,0.300477303,0.003491704374,0.229130244,0.585956809,0.653127506,0.460593965,0.669516879,0.633363604,0.472474701,0.354113641,0.443913328,0.556028436,0.428947626,0.420429512,0.549378461,0.357216628,0.645623064,0.579497367,0.593126637,0.270685577,0.302364771,0.80726248,0.25
6,ID,Male,8 Ball Pool,3477,96,0.00115118238,0.627130717,0.698507334,0.409712756,0.467363441,0.518466779,0.443032495,0.416587723,0.25,0.617916696,0.524768013,0.75,0.51362751,0,0.419005258,0.552513518,0.677430739,0.445397865,0.25,0.706427275,0.379577415,0.655520229,0.788831119,0.510937416,0.319987802,0.780436791,0.50295609,0.627205083,0.293989393,0.826113074,0.395579608,0.722479855,0.625,0.317227658,0.52868131,0,0.584593882,0.622908135,0.54396588,0.621384092,0.799714634,0.552531385,0.753303583,0.587758997,0.32928704,0.5,0.260865314,0.471560643,0.329762696,0.669604583,0.390992562,0.351723575,0.854858998,0.764751209,0.32101498,0.524446185,ENT,0.430056211,0.526108214,0.422018349,0.633476661,0.808767232,0.564577929,0.476705492,0.262497572,0.478125713,0.529798089,0.702232527,0.80716727,0.467708622,0.532552583,0.412992235,0.476767309,0.554509171,0.556003246,0.660994557,0.299062397,0.644760505,0.624460105,0.480994683,0.666869323,0.448800879,0.46015541,0.442233985,0.640583586,0.578051888,0.251301133,0.319407246,0.511434511,0.125,0.343352174,0.683023764,0.484846711,0.277264161,0.702928432,0.721503159,0.504580497,0.335300631,0.305117052,0.00115118238,0.400785646,0.622908135,0.734125487,0.578579997,0.627668585,0.558602329,0.488247363,0.432685408,0.52756385,0.519846365,0.454108278,0.529036762,0.481167303,0.452857873,0.684451728,0.51362751,0.705802476,0.411287719,0.30125476,0.81912689,0.125
7,ID,Male,PUBG,9321,150,0.01354052638,0.65642706,0.511791244,0.557802948,0.449344427,0.596114881,0.521758012,0.501141775,0.5,0.585251681,0.735209121,1,0.658008439,0,0.378715632,0.621802125,0.4540411,0.558158006,0.5,0.600684924,0.114669587,0.757457873,0.782359703,0.25595412,0.344265925,0.798226648,0.535560064,0.648250491,0.305608619,0.878382274,0.160924358,0.6058598,0.5,0.319771709,0.529194966,0,0.740231557,0.643564585,0.322697658,0.650203151,0.578747161,0.266975046,0.749894668,0.381446888,0.220327209,0.5,0.50478439,0.234814686,0.074123144,0.632221126,0.395606284,0.351723575,0.914789755,0.719720991,0.326554513,0.388208205,ENT,0.283543944,0.527089491,0.366972477,0.653035591,0.752907434,0.317750576,0.496374507,0,0.446818197,0.454639503,0.792522562,0.766331528,0.22271157,0.258820066,0.667383896,0.623864827,0.669129648,0.54343393,0.519669744,0.064101802,0.409751323,0.476560092,0.443905539,0.388549358,0.520337362,0.46957122,0.242097691,0.703517098,0.389580938,0.24855906,0.318073319,0.47250634,0,0.239759371,0.454927336,0.445747761,0.252491851,0.66442569,0.445151437,0.297644432,0.046120538,0.294902031,0.01354052638,0.202460865,0.643564585,0.530902558,0.343273185,0.691844258,0.547833835,0.506458053,0.157359752,0.388460333,0.456178849,0.244498153,0.457321274,0.346749156,0.352060394,0.716702302,0.658008439,0.499600777,0.205067892,0.305078363,0.78854958,0
8,ID,Female,MLBB,21967,92,0.001085361593,0.503082317,0.338674551,0.518288062,0.493674665,0.448701813,0.201889706,0.565122796,0,0.413629305,0.382430437,0.5,0.428308014,0.5,0.658854477,0.227992727,0.421991145,0.437827148,0,0.505844622,0.511423385,0.610307114,0.608387568,0.35019483,0.358555425,0.335576627,0.406943163,0.691766956,0.239436666,0.865768141,0.217586458,0.581234722,0.5,0.204776506,0.639329744,0.5,0.517008457,0.546664283,0.353724694,0.367906059,0.434846184,0.367918643,0.880916957,0.536009684,0.222079729,1,0.530227908,0.531878076,0.390205841,0.546664283,0.29507299,0.474457884,0.854875374,0.554097187,0.333869788,0.494096431,IST,0.161632869,0.40401932,0.416694013,0.456498323,0.798738143,0.548870011,0.448500128,0.369075584,0.478927633,0.509218621,0.790833766,0.637151221,0.452669358,0.696637232,0.326662129,0.342624709,0.450260046,0.456853892,0.353397858,0.417182663,0.364112512,0.29034379,0.59445558,0.4546927,0.494904792,0.679730072,0.413637126,0.746615972,0.539261356,0.269699136,0.290761637,0.29288308,0,0.355420228,0.688601721,0.54837223,0.358252509,0.699984498,0.534925719,0.527028297,0.47700256,0.302865269,0.001085361593,0.505844622,0.599664667,0.666251341,0.676858941,0.81374772,0.534154988,0.31537486,0.281928481,0.223130944,0.214941968,0.222697513,0.42390461,0.216937755,0.287123113,0.581757599,0.407217382,0.356794712,0.188947073,0.294041392,0.745226552,0
9,ID,Female,Free Fire 0 Battlegrounds,67213,171,0.002284954922,0.561336043,0.37881366,0.547941679,0.567108155,0.49674301,0.389375151,0.552732998,0,0.3493456,0.466689287,0.25,0.544485512,0.375,0.704624933,0.397027138,0.660348157,0.536922865,0.125,0.618865123,0.646709076,0.612115263,0.625672042,0.601269431,0.35727234,0.4873434,0.244141829,0.456884834,0.242600425,0.875690381,0.518295128,0.550334122,0.375,0.209312794,0.553511469,0.25,0.475691222,0.495842118,0.652205545,0.483922123,0.57259434,0.579259232,0.882479591,0.649759834,0.244408323,0.5,0.36058655,0.772032414,0.615252502,0.495842118,0.354062321,0.480516181,0.883966041,0.763816915,0.340927759,0.587106483,IST,0.414844503,0.43601995,0.514556722,0.329864773,0.786473287,0.612331946,0.525720788,0.528584576,0.632044114,0.461981271,0.787775943,0.571737641,0.603614553,0.714987533,0.474618208,0.499477342,0.620583673,0.586408102,0.433483426,0.503711646,0.533438607,0.484468904,0.582030457,0.651607704,0.60352182,0.622552397,0.593427358,0.678415073,0.722407255,0.264304293,0.298507334,0.505870826,0.125,0.413804347,0.686740946,0.566174238,0.349978687,0.628771388,0.63544116,0.620921439,0.519183838,0.279882428,0.002284954922,0.618865123,0.663352775,0.77025259,0.808813258,0.887987829,0.39744163,0.300208788,0.543925957,0.328975769,0.444177572,0.439391983,0.594737106,0.397342197,0.341651902,0.458655514,0.412746541,0.387027114,0.418017138,0.291647835,0.74286248,0.25
